,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
1437,2012,190000,120000,Diesel,Individual,Manual,First Owner,Tata,Manza Aqua Quadrajet BS,IV
1438,2008,160000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Era,1.1
1439,2017,325000,15000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,VXI
1440,2006,200000,73756,Diesel,Individual,Manual,First Owner,Mahindra,Bolero,DI
1441,2018,2800000,40000,Diesel,Individual,Automatic,First Owner,Toyota,Fortuner 2.8 2WD AT,BSIV
1442,2011,125000,60000,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark 1.0,LS
1443,2008,155000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i10 Magna,1.1
1444,2015,550000,90000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4,CRDi
1445,2009,130000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LX,BSIII
1446,2002,80000,70000,Petrol,Individual,Manual,Second Owner,Maruti,800,AC
1447,2015,500000,80000,Diesel,Individual,Manual,Second Owner,Toyota,Etios Cross 1.4L,GD
1448,2019,250000,27000,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,BSIV
1449,2012,580000,70000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W8,2WD
1450,2002,60000,50000,Petrol,Individual,Manual,First Owner,Daewoo,Matiz,SD
1451,2012,300000,185000,Diesel,Individual,Manual,First Owner,Toyota,Etios,GD
1452,2014,200000,90000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,Titanium
1453,2017,1200000,16400,Diesel,Individual,Manual,First Owner,Tata,Hexa,XT
1454,2015,350000,80000,Diesel,Individual,Manual,Second Owner,Toyota,Etios Cross 1.4L,GD
1455,2012,600000,80000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500 W8,4WD
1456,2019,650000,4000,Petrol,Individual,Manual,First Owner,Honda,Jazz,V
1457,2008,120000,40000,Petrol,Individual,Manual,First Owner,Maruti,A-Star,Lxi
1458,2010,180000,120000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 EX,4x2
1459,2018,950000,41395,Petrol,Individual,Automatic,First Owner,Hyundai,Verna VTVT 1.6 AT SX,Option
1460,2012,250999,35000,Diesel,Individual,Manual,Second Owner,Tata,Manza Aura Quadrajet BS,IV
1462,2009,1250000,47000,Diesel,Dealer,Automatic,Second Owner,Audi,A8 L 3.0 TDI,quattro
1463,2013,165000,50000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,LT
1464,2015,700000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,Elantra,SX
1465,2015,750000,53000,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W8,4WD
1467,2018,290000,15000,Petrol,Dealer,Automatic,First Owner,Datsun,redi-GO AMT 1.0 T,Option
1468,2014,45000,7000,Petrol,Individual,Manual,Second Owner,Tata,Nano Cx,BSIII
1469,2013,675000,88000,Diesel,Dealer,Automatic,First Owner,Skoda,Superb Ambition 2.0 TDI CR,AT
1470,2015,530000,55000,Diesel,Dealer,Manual,First Owner,Nissan,Terrano XL Plus 85,PS
1471,2014,1485000,48000,Diesel,Dealer,Automatic,First Owner,BMW,X1 sDrive20d M,Sport
1472,2014,325000,71014,Diesel,Dealer,Manual,First Owner,Chevrolet,Enjoy TCDi LT 7,Seater
1473,2015,400000,60000,Diesel,Dealer,Manual,First Owner,Honda,Amaze S,Diesel
1474,2017,380000,71000,Diesel,Dealer,Manual,First Owner,Mahindra,KUV 100 D75 K6,Plus
1475,2016,750000,45000,Petrol,Dealer,Automatic,First Owner,Honda,City i-VTEC CVT,VX
1476,2017,390000,45000,Petrol,Dealer,Manual,First Owner,Honda,Brio,VX
1478,2019,1825000,14000,Diesel,Dealer,Manual,First Owner,MG,Hector Sharp Diesel MT,BSIV
1479,2019,3256000,17000,Diesel,Dealer,Automatic,First Owner,Audi,A4 35 TDI Premium,Plus
1480,2015,370000,60000,Diesel,Dealer,Manual,First Owner,Renault,Scala Diesel,RxL
1481,2013,210000,80000,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat Diesel,LT
1482,2007,175000,181000,Diesel,Individual,Manual,Fourth & Above Owner,Skoda,Laura Ambiente 1.9,PD
1483,2012,575000,89550,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi,(O)
1484,2010,320000,90000,Diesel,Individual,Manual,Third Owner,Mahindra,Xylo,D4
1485,2010,280000,149500,Diesel,Individual,Manual,Third Owner,Maruti,Swift Ldi,BSIV
1486,2013,500000,190000,Diesel,Individual,Manual,Second Owner,Renault,Duster 85PS Diesel RxL,Optional
1487,2013,380000,83000,Diesel,Dealer,Manual,First Owner,Ford,Fiesta Diesel,Style
1488,2005,120000,20000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC,BSIII
1489,2018,395000,20000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 5 Seater AC,BSIV
1490,2010,360000,160000,Diesel,Individual,Manual,First Owner,Skoda,Laura 1.9 TDI MT,Ambiente
1491,2015,451000,100000,Diesel,Individual,Manual,First Owner,Nissan,Terrano XL Plus 85,PS
1492,2010,175000,45000,Petrol,Individual,Manual,Second Owner,Chevrolet,Spark 1.0,LS
1493,2009,170000,44800,Petrol,Individual,Manual,Second Owner,Chevrolet,Spark 1.0,LS
1494,2006,100000,40000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro,III
1495,2014,150000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Omni MPI STD,BSIV
1496,2011,149000,10000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Quadrajet,LX
1497,2011,160000,80000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.3,Quadrajet
1499,2014,800000,156000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W8,4WD
1500,2010,819999,120000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 VX (Diesel) 7 Seater BS,IV
1501,2007,163000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Baleno,Vxi
1502,2001,350000,100000,Diesel,Individual,Manual,Second Owner,Mercedes-Benz,E-Class 220,CDI
1503,2006,75000,100000,Petrol,Individual,Manual,Second Owner,Tata,Indica GLS BS,IV
1504,2012,180000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
1505,2017,675000,30000,Diesel,Individual,Manual,First Owner,Ford,Figo Aspire 1.5 TDCi,Trend
1506,2013,400000,170000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
1507,2013,434999,100000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo Diesel Highline,1.2L
1508,2006,100000,110000,Petrol,Individual,Manual,Second Owner,Tata,Indigo,GLX
1509,2015,419000,170000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire LDI,Optional
1510,2009,200000,100000,Petrol,Individual,Manual,First Owner,Tata,Indica GLS BS,IV
1511,2014,400000,35000,Diesel,Individual,Manual,First Owner,Renault,Scala Diesel,RxL
1512,2018,790000,40000,Diesel,Individual,Manual,Second Owner,Ford,EcoSport 1.5 Diesel Ambiente,BSIV
1513,2015,500000,90000,Diesel,Individual,Manual,Second Owner,Renault,Duster 85PS Diesel RxL,Plus
1514,2012,275000,120000,Diesel,Individual,Manual,Second Owner,Skoda,Rapid 1.6 TDI,Elegance
1515,2012,450000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 CRDi,Sportz
1526,2016,360000,33000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R,VXI
1527,2010,210000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi,BSIII
1528,2014,220000,66000,Petrol,Dealer,Manual,First Owner,Maruti,Alto K10,LXI
1529,2009,250000,48000,Petrol,Individual,Manual,First Owner,Chevrolet,Aveo 1.4 LT,BSIV
1530,2016,990000,146000,Diesel,Dealer,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 8,Seater
1531,2013,220000,100000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Quanto,C4
1532,2012,1800000,50000,Diesel,Individual,Automatic,Second Owner,Jaguar,XF 3.0 Litre S Premium,Luxury
1533,2014,530000,50000,Petrol,Individual,Manual,First Owner,Honda,City i VTEC,V
1534,2016,575000,50000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.3
1535,2012,400000,99000,Diesel,Dealer,Manual,First Owner,Mahindra,Xylo,E4
1536,2016,680000,50000,Diesel,Individual,Manual,First Owner,Honda,Mobilio S i,DTEC
1537,2014,1000000,80000,Diesel,Individual,Automatic,First Owner,Hyundai,Santa Fe 4WD,AT
1538,2016,260000,45000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800,LXI
1539,2010,150000,50000,Petrol,Individual,Manual,Second Owner,Tata,Manza Aura (ABS) Safire BS,IV
1540,2008,180000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LXi,BSIII
1541,2014,346000,37516,Diesel,Individual,Manual,First Owner,Force,One,EX
1542,2015,450000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo D2 BS,IV
1543,2019,500000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz,BSIV
1544,2019,700000,8000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi,Asta
1545,2019,280000,25880,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1546,2019,475000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Santro Magna AMT,BSIV
1547,2009,300000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDi
1548,2014,200999,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,LXI
1549,2009,200000,100000,Diesel,Individual,Manual,Third Owner,Skoda,Laura 1.9 TDI MT,Ambiente
1550,2009,210000,80000,Petrol,Individual,Manual,Second Owner,Chevrolet,Aveo U-VA 1.2,LS
1551,2012,160000,110000,Diesel,Individual,Manual,First Owner,Tata,Indigo LS,BSII
1552,2009,175000,136000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi SX,ABS
1553,2012,320000,80000,Diesel,Individual,Manual,First Owner,Tata,New Safari DICOR 2.2 GX 4x2 BS,IV
1554,2009,110000,50000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
1555,2008,300000,30000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,Minor
1556,2012,700000,10000,Petrol,Individual,Manual,First Owner,Honda,City V,MT
1557,2009,135000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Indica Vista Aura 1.3,Quadrajet
1558,2015,500000,110000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus Plus Non AC BSIV,PS
1559,2012,550000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio VLX 2WD AIRBAG,BSIV
1560,2014,1050000,90000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 Z Diesel 7 Seater BS,IV
1561,2016,500000,20000,Petrol,Individual,Manual,First Owner,Honda,City i VTEC,V
1562,2011,180000,90000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,VDi
1563,2010,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing,GLS
1564,2019,484999,9000,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 S Option,MT
1565,2011,150000,70000,Petrol,Individual,Manual,Second Owner,Maruti,A-Star,Vxi
1566,2018,380000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI,Airbag
1567,2019,480000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Sportz,BSIV
1569,2011,290000,60000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo Diesel Highline,1.2L
1570,2013,350000,70000,Petrol,Individual,Manual,First Owner,Fiat,Linea,Dynamic
1571,2014,110000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1572,2003,70000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro LE,zipPlus
1573,2011,300000,70000,Petrol,Individual,Automatic,Third Owner,Volkswagen,Vento Petrol Highline,AT
1574,2017,180000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LX
1575,2020,300000,20000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXL
1576,2017,509000,60000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta,1.2
1577,2016,650000,80000,Diesel,Individual,Manual,First Owner,Maruti,SX4 S Cross DDiS 320,Zeta
1578,2015,450000,70000,Diesel,Individual,Manual,Third Owner,Maruti,Swift VDI,BSIV
1579,1999,170000,2020,Diesel,Individual,Manual,Second Owner,Mahindra,Jeep,Classic
1580,2007,210000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio 2.6 Turbo 7,Str
1581,2013,360000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 Asta 1.4,CRDi
1582,2011,495000,120000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 GX (Diesel) 7 Seater BS,IV
1583,2006,105000,100000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LX
1584,2010,270000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,i20,Magna
1585,2010,130000,110000,Petrol,Individual,Manual,First Owner,Ford,Figo Petrol,LXI
1586,2014,700000,90000,Diesel,Individual,Manual,Second Owner,Honda,City i DTEC,S
1587,2012,400000,40000,Diesel,Individual,Manual,First Owner,Chevrolet,Cruze,LTZ
1588,2009,250000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Swift ZXI,ABS
1589,2013,325000,94000,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX,i-DTEC
1590,2008,69000,100000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
1591,2018,1380000,25000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S11,BSIV
1592,2007,90000,90000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo VXI,BSIII
1593,2016,1000000,40000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W6 1.99,mHawk
1594,2010,145000,90000,CNG,Individual,Manual,Second Owner,Hyundai,Accent GLE,CNG
1595,2020,250000,1100,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Alto K10,LX
1596,2011,256000,70000,Diesel,Individual,Manual,Third Owner,Maruti,Swift,VDI
1597,2005,70000,120000,Diesel,Individual,Manual,First Owner,Tata,Indica,DLS
1598,2000,50000,88500,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R,VX
1599,2016,240000,70000,Petrol,Individual,Manual,Second Owner,Renault,KWID,RXT
1600,2010,97000,128000,Petrol,Individual,Manual,First Owner,Tata,Indica Vista Aqua 1.2 Safire,BSIV
1601,2012,130000,120000,Diesel,Individual,Manual,First Owner,Tata,Indigo,CR4
1602,2009,199000,52536,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3,VXi
1603,2006,125000,70000,Petrol,Individual,Automatic,First Owner,Honda,Civic 1.8 S,AT
1604,2015,420000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi,Base
1605,2016,525000,110000,Diesel,Individual,Manual,First Owner,Mahindra,NuvoSport,N8
1606,2008,125000,85000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing,GLS
1607,2010,325000,135000,Diesel,Individual,Manual,First Owner,Hyundai,Verna Transform CRDi VGT SX,ABS
1608,2012,330000,86000,Diesel,Individual,Manual,Fourth & Above Owner,Volkswagen,Vento New Diesel,Highline
1609,2010,110000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI BS,IV
1610,2019,450000,1950,Petrol,Individual,Manual,First Owner,Maruti,S-Presso VXI,Plus
1611,2005,85000,118400,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3,VXi
1612,2007,229999,70000,Petrol,Individual,Manual,Second Owner,Honda,Civic 1.8 S,MT
1613,2012,250000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,i10,Magna
1614,2015,650000,68000,Diesel,Individual,Manual,First Owner,Ford,Ecosport 1.5 DV5 MT,Titanium
1616,2017,650000,6480,Petrol,Trustmark Dealer,Manual,First Owner,Toyota,Etios Liva 1.2,VX
1617,2017,750000,32077,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Vitara Brezza,VDi
1618,2018,850000,19107,Petrol,Trustmark Dealer,Manual,First Owner,Toyota,Yaris,G
1619,2017,315000,18469,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,EON Era Plus,Option
1620,2015,415000,28217,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift LXI,Option
1621,2016,640000,72787,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Ciaz ZDi,Plus
1622,2017,780000,31063,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ciaz 1.4,Alpha
1623,2017,2595000,79641,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,Fortuner 4x2,AT
1624,2015,850000,58692,Diesel,Trustmark Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi,SX
1625,2015,900000,54784,Diesel,Trustmark Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi,SX
1626,2016,1150000,64156,Petrol,Trustmark Dealer,Manual,First Owner,Toyota,Corolla Altis GL,MT
1627,2007,75000,54000,Petrol,Individual,Manual,First Owner,Maruti,Esteem Lxi -,BSIII
1628,2012,215000,97000,Diesel,Individual,Manual,First Owner,Volkswagen,Vento Diesel,Comfortline
1629,2009,130000,120000,Petrol,Individual,Automatic,Second Owner,Maruti,SX4 ZXI,AT
1630,2019,400000,16000,Petrol,Individual,Automatic,First Owner,Hyundai,Santro Magna AMT,BSIV
1631,2019,550000,60000,Petrol,Individual,Automatic,First Owner,Maruti,Swift Dzire AMT,ZXI
1632,2016,245000,52000,Petrol,Dealer,Manual,First Owner,Chevrolet,Beat,LT
1633,2010,320000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift VDI,BSIV
1634,2016,730000,60000,Diesel,Individual,Automatic,Second Owner,Mahindra,TUV 300 T8,AMT
1635,2005,120000,100000,Petrol,Individual,Manual,Third Owner,Ford,Fusion 1.6 Duratec,Petrol
1636,2017,950000,35000,Petrol,Individual,Manual,First Owner,Honda,City i-VTEC,VX
1637,2017,350000,48000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R VXI BS,IV
1638,2005,100000,20000,Petrol,Individual,Manual,Second Owner,Maruti,Esteem,Vxi
1639,2017,350000,30000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
1640,2005,80000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,BSIII
1641,2013,370000,60000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6,VTVT
1642,2012,160000,70000,Petrol,Individual,Manual,Second Owner,Hyundai,EON D Lite,Plus
1643,2009,130000,120000,Diesel,Individual,Manual,First Owner,Tata,Sumo Victa EX 7/9 Str,BSII
1644,2016,250000,30000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail Hatchback 1.2,LS
1645,2012,270000,80000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 GX 4x2 BS,IV
1646,2019,2600000,9500,Diesel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d,xLine
1647,2013,160000,80000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
1648,2016,229999,80000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
1649,2017,750000,29000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,ZLX
1650,2011,195000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Optra Magnum 2.0,LS
1653,2016,270000,22000,Petrol,Individual,Manual,First Owner,Datsun,RediGO,S
1654,2012,300000,50000,Petrol,Individual,Manual,First Owner,Skoda,Fabia 1.2 MPI Ambition,Plus
1655,2012,200000,50000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LT
1656,2007,120000,81366,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo 1.1 LXI,BSIII
1657,2006,95000,110000,Petrol,Individual,Manual,First Owner,Maruti,Esteem Vxi -,BSIII
1659,2006,229999,300000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS,IV
1661,2012,300000,90000,Diesel,Individual,Manual,First Owner,Renault,Fluence,1.5
1664,2016,200000,53000,Petrol,Individual,Manual,Second Owner,Renault,KWID,RXT
1665,2017,250000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1666,2012,368000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire 1.2 Vxi,BSIV
1668,2014,650000,244000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 7,Seater
1669,1997,150000,120000,Diesel,Individual,Manual,Third Owner,Mahindra,Jeep CL 500,MDI
1670,2012,180000,60000,LPG,Individual,Manual,First Owner,Maruti,Wagon R LXI DUO BS,IV
1671,2017,525000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz,Option
1672,2005,350000,150000,Diesel,Individual,Manual,Second Owner,Ford,Endeavour 4x4,XLT
1673,2018,850000,30000,Diesel,Individual,Manual,Second Owner,Mahindra,TUV 300 Plus,P4
1674,2011,350000,312000,Diesel,Individual,Manual,Third Owner,Volkswagen,Jetta 2.0 TDI,Comfortline
1676,2005,160000,67000,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3,VXi
1677,2017,500000,40000,Diesel,Individual,Manual,First Owner,Maruti,Swift LDI,Optional
1678,2008,130000,100000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing,GLS
1679,2015,350000,100000,Diesel,Individual,Manual,Second Owner,Tata,Zest Quadrajet 1.3 75PS,XE
1680,2005,70000,80000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R,LXI
1681,2014,750000,145000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G (Diesel) 7,Seater
1682,2013,450000,53000,Diesel,Individual,Manual,First Owner,Honda,Amaze VX,i-DTEC
1683,2015,430000,73000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire,LDI
1684,2011,260000,90000,Diesel,Individual,Manual,Third Owner,Maruti,SX4,VDI
1685,2013,370000,80000,Diesel,Individual,Manual,Third Owner,Maruti,Swift,VDI
1686,2011,229999,100000,CNG,Individual,Manual,First Owner,Chevrolet,Aveo 1.4,CNG
1687,2011,140000,90000,Diesel,Individual,Manual,Third Owner,Ford,Figo Diesel,EXI
1688,2013,700000,200000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7,Seater
1689,2020,545000,7300,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Magna Plus,BSIV
1690,2017,200000,30000,Petrol,Individual,Manual,First Owner,Datsun,RediGO T,Option
1691,2015,500000,120000,Diesel,Individual,Manual,First Owner,Tata,Safari Storme,VX
1692,2008,70000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
1693,2013,580000,25000,Diesel,Individual,Manual,Third Owner,Mahindra,Thar,4X4
1694,2012,160000,70000,CNG,Individual,Manual,Second Owner,Maruti,Eeco 5 STR With AC Plus HTR,CNG
1696,2010,160000,36000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
1697,2016,760000,49000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS ZDI,Plus
